actor_key,actor_name,month,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_cbt,n_context_civ,n_context_pol,n_context_other,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_cbt_raw,share_context_civ_raw,share_context_pol_raw,share_context_other_raw,log1p_n_articles,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,period_start,year,month_of_year,period_index,time_years,taliban_transition_month,taliban_post_takeover,hamas_post_oct2023,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023
209,Hamas,2020-01,182.0,182.0,131.0,106.0,18.0,100.0,0.0,64.0,18.0,0.7197802197802198,0.5824175824175825,0.0989010989010989,0.5494505494505495,0.0,0.3516483516483517,0.0989010989010989,5.209486152841421,3.0,1.0,1.3862943611198906,0.0,0.0,,,2020-01-01,2020,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-02,237.0,237.0,190.0,141.0,30.0,143.0,1.0,72.0,21.0,0.8016877637130801,0.5949367088607594,0.12658227848101267,0.6033755274261603,0.004219409282700422,0.3037974683544304,0.08860759493670886,5.472270673671475,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,,2020-02-01,2020,2,1,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-03,46.0,46.0,22.0,10.0,2.0,10.0,0.0,30.0,6.0,0.4782608695652174,0.21739130434782608,0.043478260869565216,0.21739130434782608,0.0,0.6521739130434783,0.13043478260869565,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2020-03-01,2020,3,2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-04,44.0,44.0,26.0,9.0,5.0,12.0,0.0,26.0,6.0,0.5909090909090909,0.20454545454545456,0.11363636363636363,0.2727272727272727,0.0,0.5909090909090909,0.13636363636363635,3.8066624897703196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-01,2020,4,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-05,44.0,44.0,28.0,12.0,1.0,13.0,3.0,25.0,3.0,0.6363636363636364,0.2727272727272727,0.022727272727272728,0.29545454545454547,0.06818181818181818,0.5681818181818182,0.06818181818181818,3.8066624897703196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-01,2020,5,4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-06,88.0,88.0,67.0,41.0,3.0,36.0,4.0,39.0,9.0,0.7613636363636364,0.4659090909090909,0.03409090909090909,0.4090909090909091,0.045454545454545456,0.4431818181818182,0.10227272727272728,4.48863636973214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-01,2020,6,5,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-07,101.0,101.0,77.0,48.0,7.0,49.0,3.0,37.0,12.0,0.7623762376237624,0.4752475247524752,0.06930693069306931,0.48514851485148514,0.0297029702970297,0.36633663366336633,0.1188118811881188,4.624972813284271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-01,2020,7,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-08,416.0,416.0,366.0,324.0,17.0,319.0,1.0,76.0,20.0,0.8798076923076923,0.7788461538461539,0.040865384615384616,0.7668269230769231,0.002403846153846154,0.18269230769230768,0.04807692307692308,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-01,2020,8,7,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-09,116.0,116.0,86.0,51.0,5.0,51.0,2.0,54.0,9.0,0.7413793103448276,0.4396551724137931,0.04310344827586207,0.4396551724137931,0.017241379310344827,0.46551724137931033,0.07758620689655173,4.762173934797756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-01,2020,9,8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
209,Hamas,2020-10,54.0,54.0,39.0,28.0,5.0,28.0,1.0,17.0,8.0,0.7222222222222222,0.5185185185185185,0.09259259259259259,0.5185185185185185,0.018518518518518517,0.3148148148148148,0.14814814814814814,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-01,2020,10,9,0.75,0.0,0.0,0.0,0.0,0.0,0.0
