model_id,term,estimate,hac_se,z,p_value,ci_low,ci_high,is_signal
context_three_raw,share_context_three_violent_raw,-0.053974518094195734,1.3214170732443917,-0.040845936674388135,0.9674187177249866,-2.6439519816532036,2.536002945464812,True
context_three_raw,share_context_three_pol_raw,-1.2916987063208012,1.2452972808702205,-1.0372613239933801,0.29961408525646926,-3.7324813768264336,1.1490839641848312,True
context_three_raw,log1p_y_ucdp_actor_fatalities,0.3996095019504897,0.07257847904091702,5.505895235489915,3.672969193376675e-08,0.2573556830302923,0.5418633208706871,False
context_three_raw,log1p_y_ucdp_actor_fatalities_lag1,0.1096990822797588,0.06516449706153604,1.683417922740475,0.09229421607678442,-0.018023331960851846,0.23742149652036945,False
context_three_raw,log1p_y_ucdp_actor_fatalities_lag2,0.009753553328637886,0.07500888254841123,0.13003197751070186,0.8965411270694117,-0.1372638564662481,0.1567709631235239,False
context_three_raw,log1p_n_articles,-0.11560390142000782,0.06688671256617577,-1.7283537639203401,0.08392481950024716,-0.24670185804971234,0.015494055209696711,False
context_three_raw,time_years,-0.06210153902286758,0.048831188454414205,-1.271759729559762,0.20345850120710815,-0.15781066839351943,0.033607590347784266,False
context_three_raw,taliban_outcome_transition_aug2021,-0.2736566766928564,0.25376769214305267,-1.0783747701759925,0.28086654160304964,-0.7710413532932396,0.2237279999075268,False
context_three_raw,taliban_outcome_post_takeover,-1.9728752848833497,0.41756431524069154,-4.724721947913938,2.3043042384777004e-06,-2.791301342755105,-1.1544492270115945,False
context_three_raw,hamas_outcome_post_oct2023,3.3878156947375455,0.7962381984396678,4.254776650224029,2.0925778890665812e-05,1.8271888257957967,4.948442563679294,False
context_three_raw,Intercept,1.475436521988264,1.2216857821565938,1.2077054047266833,0.22716059836677593,-0.9190676110386602,3.869940655015188,False
context_three_raw,actor_Taliban,3.0369122665877972,0.6057692622167437,5.0133152274424795,5.350014141331852e-07,1.8496045126429796,4.224220020532615,False
context_three_raw,actor_FARC_family,0.5267543117038878,0.20312354643915156,2.593270553503674,0.009506795035435339,0.1286321606831507,0.9248764627246249,False
