model_id,term,estimate,hac_se,z,p_value,ci_low,ci_high,is_signal
controls_only,log1p_y_ucdp_actor_fatalities,0.4443910343040161,0.07360097818047377,6.037841415834775,1.5618944761823604e-09,0.30013311707028756,0.5886489515377447,False
controls_only,log1p_y_ucdp_actor_fatalities_lag1,0.08992918080679906,0.06929296905859463,1.2978110481996277,0.19435227220885543,-0.04588503854804642,0.22574340016164451,False
controls_only,log1p_y_ucdp_actor_fatalities_lag2,0.0070174920506357735,0.0747328238114993,0.09390106907155268,0.9251877445954344,-0.13945884261990288,0.1534938267211744,False
controls_only,log1p_n_articles,-0.055763639460507775,0.06937939684470776,-0.8037492684654466,0.42154179394154706,-0.19174725727613498,0.08021997835511943,False
controls_only,time_years,-0.04537452157697125,0.047149355379869584,-0.9623571989776111,0.335870205755418,-0.13778725812151563,0.04703821496757313,False
controls_only,taliban_outcome_transition_aug2021,-0.34303741592932774,0.223548527262635,-1.53450984504278,0.12490427312110754,-0.7811925293640923,0.09511769750543686,False
controls_only,taliban_outcome_post_takeover,-2.023879928915111,0.45221530037747043,-4.475478665197198,7.624031211557963e-06,-2.910221917654953,-1.137537940175269,False
controls_only,hamas_outcome_post_oct2023,3.0119226716593515,0.765490291131591,3.934632099914628,8.332423061676049e-05,1.5115617010414333,4.51228364227727,False
controls_only,Intercept,0.5468372698342869,0.3607884097133096,1.5156730513289378,0.12960204513351012,-0.16030801320379984,1.2539825528723738,False
controls_only,actor_Taliban,2.995487430857236,0.6262045442690252,4.783560672421977,1.7221687616456404e-06,1.7681265240899466,4.222848337624525,False
controls_only,actor_FARC_family,0.678448764383689,0.2169240701168877,3.1275863670551294,0.0017624802858665588,0.2532775869545891,1.1036199418127888,False
