model_id,n,actors,parameters,rank,condition_number,r2,adjusted_r2,rmse,mean_actor_residual_ar1,hac_lags,month_effects,signal_wald_statistic,signal_wald_df,signal_wald_p
single_direct_conflict_relevance_raw,360,3,12,12,169.49848035960972,0.8759893521397676,0.8720694753395878,0.9028978055856955,0.04392290395159217,6,False,2.3560356050343536,1,0.12479898288852033
single_physical_violence_raw,360,3,12,12,169.1838908103755,0.8779260733030974,0.874067414700609,0.8958196129717224,0.03350217175291235,6,False,5.892258960524567,1,0.015207580505474758
single_fatalities_present_raw,360,3,12,12,169.19011228683166,0.8748780197041784,0.8709230145798852,0.9069344814403839,0.03883468934073874,6,False,0.2688174955270204,1,0.6041261114273191
joint_binary_raw,360,3,14,14,169.9984558991887,0.8789167492102179,0.874367378515804,0.8921772513016082,0.031189959179805358,6,False,6.774557847423156,3,0.07944128643554951
