outcome,variable,estimate,standard_error,p_value,fdr_p,n
Monthly nighttime-radiance change,article_volume,0.00448289849460008,0.003023487920520416,0.1381565122922162,,201
Monthly nighttime-radiance change,direct_conflict_relevance,-0.027591699664757854,0.03156726545348983,0.3820853099249182,0.5731279648873773,201
Monthly nighttime-radiance change,physical_violence,-0.03124459283497744,0.026288452507452934,0.2346249916098744,0.5731279648873773,201
Monthly nighttime-radiance change,fatalities_present,-0.00742817715737778,0.03301998337192491,0.8220103520601441,0.822010352060144,201
Next-month thermal-anomaly rate,article_volume,0.0009820654352049115,0.0013749027896141639,0.47505411497653416,,201
Next-month thermal-anomaly rate,direct_conflict_relevance,0.025348326675719395,0.01636993364608536,0.12150953892756104,0.3645286167826831,201
Next-month thermal-anomaly rate,physical_violence,0.01818751375928962,0.016855807374635882,0.2805851463655214,0.4208777195482821,201
Next-month thermal-anomaly rate,fatalities_present,0.005013901820600111,0.014074230159357392,0.7216556207739839,0.7216556207739839,201
