group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,fatalities_present,360,144,152,64,direct,0.20444276246107776,0.293054902821115,0.4854110258731878,-0.36994484706830766,0.7788303719904631,conditional actor-specific HAC,,0.4854110258731878
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,fatalities_present,360,144,152,64,bca,0.2405306362597707,0.293054902821115,0.41177736039691504,-0.3338569732696147,0.8149182457891561,conditional actor-specific HAC,,0.41177736039691504
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,fatalities_present,360,144,152,64,bcm,0.24826628709627271,0.293054902821115,0.3969023406526411,-0.32612132243311265,0.8226538966256581,conditional actor-specific HAC,,0.3969023406526411
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,fatalities_present,360,144,152,64,joint_mle,0.16419835968557717,0.31796642237056677,0.6055739695504145,-0.4590158281607337,0.787412547531888,inverse integrated-likelihood information,True,0.6055739695504145
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,direct_conflict_relevance,277,124,144,9,naive,0.9338570539910757,0.7701586998894067,0.22530135765178216,-0.5756539977921614,2.443368105774313,conditional actor-specific HAC,,0.33795203647767325
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,direct_conflict_relevance,277,124,144,9,direct,0.6134119117408164,0.511182471216616,0.23014469956782704,-0.3885057318437509,1.615329555325384,conditional actor-specific HAC,,0.3452170493517406
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,direct_conflict_relevance,277,124,144,9,bca,0.6787909869487522,0.511182471216616,0.18421645554535432,-0.3231266566358152,1.6807086305333194,conditional actor-specific HAC,,0.2763246833180315
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,direct_conflict_relevance,277,124,144,9,bcm,0.6865905624305553,0.511182471216616,0.1792260514189099,-0.3153270811540121,1.6885082060151226,conditional actor-specific HAC,,0.26883907712836486
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,direct_conflict_relevance,277,124,144,9,joint_mle,0.6893729425132068,0.5066373382367687,0.17361380856792336,-0.3036362404308599,1.6823821254572735,inverse integrated-likelihood information,True,0.26042071285188506
Article threshold,Minimum 40 articles,three two-week fatality terms,40,6,physical_violence,277,124,144,9,naive,0.7344103044198014,0.5119576773024866,0.1514257209672763,-0.2690267430930724,1.7378473519326751,conditional actor-specific HAC,,0.33795203647767325
