actor_key,actor_name,period_start,period_end,period_index,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_three_violent,n_context_three_pol,n_context_three_other,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,log1p_n_articles,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_three_violent_raw,share_context_three_pol_raw,share_context_three_other_raw,log1p_y_ucdp_actor_fatalities_next,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,outcome_period_start,outcome_period_end,time_years,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023,month,share_direct_conflict_relevance_calibrated,share_physical_violence_calibrated,share_fatalities_present_calibrated
209,Hamas,2021-08-23,2021-09-06,49,40.0,40.0,29.0,18.0,14.0,18.0,19.0,3.0,0.0,0.0,0.0,3.713572066704308,0.725,0.45,0.35,0.45,0.475,0.075,0.0,0.0,1.791759469228055,0.0,2021-09-06,2021-09-20,1.8781656399726216,0.0,0.0,0.0,2021-08-23,0.7482870928829916,0.3721922092692636,0.2605744860602647
209,Hamas,2021-09-06,2021-09-20,50,135.0,135.0,111.0,83.0,6.0,85.0,43.0,7.0,0.0,0.0,0.0,4.912654885736052,0.8222222222222222,0.6148148148148148,0.0444444444444444,0.6296296296296297,0.3185185185185185,0.0518518518518518,1.3862943611198906,3.0,0.0,1.791759469228055,2021-09-20,2021-10-04,1.9164955509924708,0.0,0.0,0.0,2021-09-06,0.8963838627529821,0.609315599363936,0.0
209,Hamas,2021-09-20,2021-10-04,51,170.0,170.0,130.0,90.0,81.0,90.0,73.0,7.0,3.0,1.0,1.3862943611198906,5.14166355650266,0.7647058823529411,0.5294117647058824,0.4764705882352941,0.5294117647058824,0.4294117647058823,0.0411764705882352,0.0,0.0,0.0,0.0,2021-10-04,2021-10-18,1.9548254620123204,0.0,0.0,0.0,2021-09-20,0.8087703115021642,0.48644399471474686,0.424334487385492
209,Hamas,2021-10-04,2021-10-18,52,53.0,53.0,29.0,11.0,8.0,10.0,39.0,4.0,0.0,0.0,0.0,3.9889840465642745,0.5471698113207547,0.2075471698113207,0.1509433962264151,0.1886792452830188,0.7358490566037735,0.0754716981132075,0.0,0.0,1.3862943611198906,0.0,2021-10-18,2021-11-01,1.9931553730321696,0.0,0.0,0.0,2021-10-04,0.47740173430138605,0.023368973342417616,0.0028267349617168568
209,Hamas,2021-10-18,2021-11-01,53,57.0,57.0,34.0,17.0,7.0,16.0,34.0,7.0,0.0,0.0,0.0,4.060443010546419,0.5964912280701754,0.2982456140350877,0.1228070175438596,0.2807017543859649,0.5964912280701754,0.1228070175438596,0.0,0.0,0.0,1.3862943611198906,2021-11-01,2021-11-15,2.0314852840520192,0.0,0.0,0.0,2021-10-18,0.5525321143631092,0.1538592001755882,0.0
209,Hamas,2021-11-01,2021-11-15,54,54.0,54.0,28.0,11.0,4.0,12.0,35.0,7.0,0.0,0.0,0.0,4.007333185232471,0.5185185185185185,0.2037037037037037,0.074074074074074,0.2222222222222222,0.6481481481481481,0.1296296296296296,1.0986122886681098,2.0,0.0,0.0,2021-11-15,2021-11-29,2.0698151950718686,0.0,0.0,0.0,2021-11-01,0.4337577625876781,0.01783927800419126,0.0
209,Hamas,2021-11-15,2021-11-29,55,125.0,125.0,94.0,54.0,54.0,57.0,57.0,11.0,2.0,1.0,1.0986122886681098,4.836281906951478,0.752,0.432,0.432,0.456,0.456,0.088,0.0,0.0,0.0,0.0,2021-11-29,2021-12-13,2.108145106091718,0.0,0.0,0.0,2021-11-15,0.789415681544029,0.3462951379016207,0.3667519008729935
209,Hamas,2021-11-29,2021-12-13,56,95.0,95.0,69.0,48.0,38.0,49.0,40.0,6.0,0.0,0.0,0.0,4.564348191467836,0.7263157894736842,0.5052631578947369,0.4,0.5157894736842106,0.4210526315789473,0.0631578947368421,0.0,0.0,1.0986122886681098,0.0,2021-12-13,2021-12-27,2.1464750171115674,0.0,0.0,0.0,2021-11-29,0.750291410069202,0.4517007617137812,0.32531681216558717
209,Hamas,2021-12-13,2021-12-27,57,92.0,92.0,72.0,48.0,42.0,54.0,30.0,8.0,0.0,0.0,0.0,4.532599493153256,0.782608695652174,0.5217391304347826,0.4565217391304347,0.5869565217391305,0.3260869565217391,0.0869565217391304,0.6931471805599453,1.0,0.0,1.0986122886681098,2021-12-27,2022-01-10,2.184804928131417,0.0,0.0,0.0,2021-12-13,0.8360413279488121,0.4754051748649417,0.3985037895020385
209,Hamas,2021-12-27,2022-01-10,58,135.0,135.0,109.0,87.0,15.0,85.0,44.0,6.0,1.0,1.0,0.6931471805599453,4.912654885736052,0.8074074074074075,0.6444444444444445,0.1111111111111111,0.6296296296296297,0.3259259259259259,0.0444444444444444,1.0986122886681098,2.0,0.0,0.0,2022-01-10,2022-01-24,2.223134839151266,0.0,0.0,0.0,2021-12-27,0.8738167359156503,0.6519445234258997,0.0
