actor_key,actor_name,period_start,period_end,period_index,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_three_violent,n_context_three_pol,n_context_three_other,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,log1p_n_articles,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_three_violent_raw,share_context_three_pol_raw,share_context_three_other_raw,log1p_y_ucdp_actor_fatalities_next,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,outcome_period_start,outcome_period_end,time_years,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023,month,share_direct_conflict_relevance_calibrated,share_physical_violence_calibrated,share_fatalities_present_calibrated
209,Hamas,2020-12-01,2021-01-01,14,88.0,88.0,66.0,46.0,2.0,50.0,32.0,6.0,0.0,0.0,0.0,4.48863636973214,0.75,0.5227272727272727,0.022727272727272728,0.5681818181818182,0.36363636363636365,0.06818181818181818,0.0,0.0,0.0,0.0,2021-01-01,2021-02-01,1.1666666666666667,0.0,0.0,0.0,2020-12-01,0.8081264108352144,0.4989329402446537,0.0
209,Hamas,2021-01-01,2021-02-01,15,105.0,105.0,77.0,48.0,5.0,48.0,48.0,9.0,0.0,0.0,0.0,4.663439094112067,0.7333333333333333,0.45714285714285713,0.047619047619047616,0.45714285714285713,0.45714285714285713,0.08571428571428572,0.0,0.0,0.0,0.0,2021-02-01,2021-03-01,1.25,0.0,0.0,0.0,2021-01-01,0.7825432656132429,0.4049370764762827,0.0
209,Hamas,2021-02-01,2021-03-01,16,60.0,60.0,34.0,9.0,6.0,10.0,46.0,4.0,0.0,0.0,0.0,4.110873864173311,0.5666666666666667,0.15,0.1,0.16666666666666666,0.7666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,2021-03-01,2021-04-01,1.3333333333333333,0.0,0.0,0.0,2021-02-01,0.5267118133935289,0.0,0.0
209,Hamas,2021-03-01,2021-04-01,17,80.0,80.0,60.0,27.0,18.0,27.0,47.0,6.0,0.0,0.0,0.0,4.394449154672439,0.75,0.3375,0.225,0.3375,0.5875,0.075,0.0,0.0,0.0,0.0,2021-04-01,2021-05-01,1.4166666666666667,0.0,0.0,0.0,2021-03-01,0.8081264108352144,0.23346442400774448,0.11725663716814161
209,Hamas,2021-04-01,2021-05-01,18,187.0,187.0,161.0,121.0,9.0,122.0,60.0,5.0,0.0,0.0,0.0,5.236441962829949,0.8609625668449198,0.6470588235294118,0.0481283422459893,0.6524064171122995,0.32085561497326204,0.026737967914438502,5.407171771460119,222.0,0.0,0.0,2021-05-01,2021-06-01,1.5,0.0,0.0,0.0,2021-04-01,0.978452698542992,0.6771254484368773,0.0
209,Hamas,2021-05-01,2021-06-01,19,2992.0,2992.0,2590.0,1864.0,1516.0,1803.0,960.0,229.0,222.0,69.0,5.407171771460119,8.0040315078527,0.8656417112299465,0.6229946524064172,0.5066844919786097,0.6026069518716578,0.32085561497326204,0.07653743315508021,0.0,0.0,0.0,0.0,2021-06-01,2021-07-01,1.5833333333333333,0.0,0.0,0.0,2021-05-01,0.9856351323619946,0.6426365758835437,0.4856345863633735
209,Hamas,2021-06-01,2021-07-01,20,572.0,572.0,385.0,204.0,89.0,206.0,311.0,55.0,0.0,0.0,0.0,6.35088571671474,0.6730769230769231,0.35664335664335667,0.1555944055944056,0.36013986013986016,0.5437062937062938,0.09615384615384616,0.0,0.0,5.407171771460119,0.0,2021-07-01,2021-08-01,1.6666666666666667,0.0,0.0,0.0,2021-06-01,0.6900503559645773,0.2609007642889541,0.026490225605269868
209,Hamas,2021-07-01,2021-08-01,21,239.0,239.0,157.0,89.0,24.0,91.0,123.0,25.0,0.0,0.0,0.0,5.480638923341991,0.6569037656903766,0.3723849372384937,0.100418410041841,0.3807531380753138,0.5146443514644351,0.10460251046025104,1.791759469228055,5.0,0.0,5.407171771460119,2021-08-01,2021-09-01,1.75,0.0,0.0,0.0,2021-07-01,0.665224741917508,0.28346166464819933,0.0
209,Hamas,2021-08-01,2021-09-01,22,24.0,24.0,18.0,11.0,7.0,12.0,7.0,5.0,5.0,2.0,1.791759469228055,3.2188758248682006,0.75,0.4583333333333333,0.2916666666666667,0.5,0.2916666666666667,0.20833333333333334,1.3862943611198906,3.0,0.0,0.0,2021-09-01,2021-10-01,1.8333333333333333,0.0,0.0,0.0,2021-08-01,0.8081264108352144,0.4066432720232333,0.2044411668305474
209,Hamas,2021-09-01,2021-10-01,23,326.0,326.0,255.0,179.0,94.0,180.0,130.0,16.0,3.0,1.0,1.3862943611198906,5.7899601708972535,0.7822085889570553,0.549079754601227,0.2883435582822086,0.5521472392638037,0.3987730061349693,0.049079754601226995,0.0,0.0,1.791759469228055,0.0,2021-10-01,2021-11-01,1.9166666666666667,0.0,0.0,0.0,2021-09-01,0.8575662313562022,0.5367014295131817,0.20009531220780474
209,Hamas,2021-10-01,2021-11-01,24,117.0,117.0,68.0,33.0,18.0,31.0,75.0,11.0,0.0,0.0,0.0,4.770684624465665,0.5811965811965812,0.28205128205128205,0.15384615384615385,0.26495726495726496,0.6410256410256411,0.09401709401709402,1.0986122886681098,2.0,1.3862943611198906,1.791759469228055,2021-11-01,2021-12-01,2.0,0.0,0.0,0.0,2021-10-01,0.5490150682024272,0.1539950852632363,0.024203918009227762
209,Hamas,2021-11-01,2021-12-01,25,184.0,184.0,126.0,66.0,58.0,70.0,96.0,18.0,2.0,1.0,1.0986122886681098,5.220355825078324,0.6847826086956522,0.358695652173913,0.31521739130434784,0.3804347826086957,0.5217391304347826,0.09782608695652174,0.6931471805599453,1.0,0.0,1.3862943611198906,2021-12-01,2022-01-01,2.0833333333333335,0.0,0.0,0.0,2021-11-01,0.7080184512709786,0.2638421229849741,0.23524004959172332
209,Hamas,2021-12-01,2022-01-01,26,219.0,219.0,165.0,113.0,87.0,120.0,83.0,16.0,1.0,1.0,0.6931471805599453,5.393627546352362,0.7534246575342466,0.5159817351598174,0.3972602739726027,0.547945205479452,0.3789954337899543,0.0730593607305936,1.0986122886681098,2.0,1.0986122886681098,0.0,2022-01-01,2022-02-01,2.1666666666666665,0.0,0.0,0.0,2021-12-01,0.8133832214972634,0.4892652070707741,0.3425331016554195
209,Hamas,2022-01-01,2022-02-01,27,173.0,173.0,122.0,84.0,16.0,92.0,71.0,10.0,2.0,1.0,1.0986122886681098,5.159055299214529,0.7052023121387283,0.48554913294797686,0.09248554913294797,0.5317919075144508,0.41040462427745666,0.057803468208092484,0.0,0.0,0.6931471805599453,1.0986122886681098,2022-02-01,2022-03-01,2.25,0.0,0.0,0.0,2022-01-01,0.7393624655854069,0.4456490719549659,0.0
209,Hamas,2022-02-01,2022-03-01,28,105.0,105.0,61.0,32.0,18.0,34.0,62.0,9.0,0.0,0.0,0.0,4.663439094112067,0.580952380952381,0.3047619047619048,0.17142857142857143,0.3238095238095238,0.5904761904761905,0.08571428571428572,0.0,0.0,1.0986122886681098,0.6931471805599453,2022-03-01,2022-04-01,2.3333333333333335,0.0,0.0,0.0,2022-02-01,0.5486402235837903,0.1865440464666022,0.047197640117994114
209,Hamas,2022-03-01,2022-04-01,29,67.0,67.0,31.0,14.0,12.0,13.0,49.0,5.0,0.0,0.0,0.0,4.219507705176107,0.4626865671641791,0.208955223880597,0.1791044776119403,0.19402985074626866,0.7313432835820896,0.07462686567164178,0.6931471805599453,1.0,0.0,1.0986122886681098,2022-04-01,2022-05-01,2.4166666666666665,0.0,0.0,0.0,2022-03-01,0.36710353424749836,0.04923350334484403,0.0572359441729406
209,Hamas,2022-04-01,2022-05-01,30,195.0,195.0,161.0,118.0,38.0,120.0,57.0,18.0,1.0,1.0,0.6931471805599453,5.278114659230517,0.8256410256410256,0.6051282051282051,0.19487179487179487,0.6153846153846154,0.2923076923076923,0.09230769230769231,0.0,0.0,0.0,0.0,2022-05-01,2022-06-01,2.5,0.0,0.0,0.0,2022-04-01,0.9242345314580077,0.6170303075433763,0.07785593626301592
