actor_key,actor_name,period_start,period_index,n_articles
303,Taliban,2020-09-21,25,179.0
303,Taliban,2020-10-05,26,185.0
303,Taliban,2020-10-19,27,141.0
303,Taliban,2020-11-02,28,66.0
303,Taliban,2020-11-16,29,144.0
303,Taliban,2020-11-30,30,149.0
303,Taliban,2020-12-14,31,144.0
303,Taliban,2020-12-28,32,120.0
303,Taliban,2021-01-11,33,146.0
303,Taliban,2021-01-25,34,161.0
303,Taliban,2021-02-08,35,167.0
303,Taliban,2021-02-22,36,113.0
303,Taliban,2021-03-08,37,115.0
303,Taliban,2021-03-22,38,118.0
303,Taliban,2021-04-05,39,167.0
303,Taliban,2021-04-19,40,211.0
303,Taliban,2021-05-03,41,324.0
303,Taliban,2021-05-17,42,179.0
303,Taliban,2021-05-31,43,252.0
303,Taliban,2021-06-14,44,346.0
303,Taliban,2021-06-28,45,862.0
303,Taliban,2021-07-12,46,858.0
303,Taliban,2021-07-26,47,408.0
303,Taliban,2021-08-09,48,103.0
303,Taliban,2021-08-23,49,756.0
303,Taliban,2021-09-06,50,1120.0
303,Taliban,2021-09-20,51,580.0
303,Taliban,2021-10-04,52,520.0
303,Taliban,2021-10-18,53,329.0
303,Taliban,2021-11-01,54,393.0
303,Taliban,2021-11-15,55,174.0
303,Taliban,2021-11-29,56,188.0
303,Taliban,2021-12-13,57,189.0
303,Taliban,2021-12-27,58,233.0
303,Taliban,2022-01-10,59,170.0
303,Taliban,2022-01-24,60,145.0
303,Taliban,2022-02-07,61,114.0
303,Taliban,2022-02-21,62,88.0
303,Taliban,2022-03-07,63,77.0
303,Taliban,2022-03-21,64,87.0
303,Taliban,2022-04-04,65,83.0
303,Taliban,2022-04-18,66,146.0
303,Taliban,2022-05-02,67,95.0
303,Taliban,2022-05-16,68,90.0
303,Taliban,2022-05-30,69,81.0
303,Taliban,2022-06-13,70,128.0
303,Taliban,2022-06-27,71,68.0
303,Taliban,2022-07-11,72,73.0
303,Taliban,2022-07-25,73,207.0
303,Taliban,2022-08-08,74,266.0
303,Taliban,2022-08-22,75,109.0
303,Taliban,2022-09-05,76,135.0
303,Taliban,2022-09-19,77,120.0
303,Taliban,2022-10-03,78,83.0
303,Taliban,2022-10-17,79,105.0
303,Taliban,2022-10-31,80,53.0
303,Taliban,2022-11-14,81,76.0
303,Taliban,2022-11-28,82,107.0
303,Taliban,2022-12-12,83,156.0
303,Taliban,2022-12-26,84,260.0
303,Taliban,2023-01-09,85,237.0
303,Taliban,2023-01-23,86,95.0
303,Taliban,2023-02-06,87,100.0
303,Taliban,2023-02-20,88,80.0
303,Taliban,2023-03-06,89,129.0
303,Taliban,2023-03-20,90,121.0
303,Taliban,2023-04-03,91,131.0
303,Taliban,2023-04-17,92,212.0
303,Taliban,2023-05-01,93,85.0
303,Taliban,2023-05-15,94,151.0
303,Taliban,2023-05-29,95,187.0
303,Taliban,2023-06-12,96,59.0
303,Taliban,2023-06-26,97,86.0
303,Taliban,2023-07-10,98,87.0
303,Taliban,2023-07-24,99,97.0
303,Taliban,2023-08-07,100,117.0
303,Taliban,2023-08-21,101,111.0
303,Taliban,2023-09-04,102,110.0
303,Taliban,2023-09-18,103,81.0
303,Taliban,2023-10-02,104,83.0
303,Taliban,2023-10-16,105,45.0
303,Taliban,2023-11-27,108,42.0
303,Taliban,2023-12-11,109,64.0
303,Taliban,2023-12-25,110,33.0
303,Taliban,2024-01-08,111,53.0
303,Taliban,2024-01-22,112,39.0
303,Taliban,2024-02-05,113,43.0
303,Taliban,2024-02-19,114,71.0
303,Taliban,2024-03-04,115,50.0
303,Taliban,2024-03-18,116,187.0
303,Taliban,2024-04-01,117,54.0
303,Taliban,2024-04-15,118,66.0
303,Taliban,2024-04-29,119,71.0
303,Taliban,2024-05-13,120,102.0
303,Taliban,2024-05-27,121,46.0
303,Taliban,2024-06-10,122,41.0
303,Taliban,2024-06-24,123,51.0
303,Taliban,2024-07-08,124,35.0
303,Taliban,2024-07-22,125,49.0
303,Taliban,2024-08-05,126,67.0
303,Taliban,2024-08-19,127,58.0
303,Taliban,2024-09-02,128,92.0
303,Taliban,2024-09-16,129,70.0
303,Taliban,2024-09-30,130,57.0
303,Taliban,2024-10-14,131,52.0
303,Taliban,2024-10-28,132,31.0
303,Taliban,2024-11-11,133,47.0
303,Taliban,2024-11-25,134,41.0
303,Taliban,2024-12-09,135,107.0
303,Taliban,2024-12-23,136,177.0
303,Taliban,2025-01-06,137,98.0
303,Taliban,2025-01-20,138,59.0
303,Taliban,2025-02-03,139,80.0
303,Taliban,2025-02-17,140,48.0
303,Taliban,2025-03-03,141,106.0
303,Taliban,2025-03-17,142,49.0
303,Taliban,2025-03-31,143,38.0
303,Taliban,2025-04-14,144,42.0
303,Taliban,2025-04-28,145,44.0
303,Taliban,2025-05-12,146,44.0
303,Taliban,2025-05-26,147,25.0
303,Taliban,2025-06-09,148,20.0
303,Taliban,2025-06-23,149,31.0
303,Taliban,2025-07-07,150,62.0
303,Taliban,2025-07-21,151,43.0
303,Taliban,2025-08-04,152,48.0
303,Taliban,2025-08-18,153,43.0
303,Taliban,2025-09-01,154,84.0
303,Taliban,2025-09-15,155,82.0
303,Taliban,2025-09-29,156,270.0
303,Taliban,2025-10-13,157,407.0
303,Taliban,2025-10-27,158,172.0
303,Taliban,2025-11-10,159,76.0
group:farc_bloc,FARC family,2020-02-24,10,27.0
group:farc_bloc,FARC family,2020-06-15,18,21.0
