variable,parameter,mean,sd,median,ci_low,ci_high,n_eff,r_hat
direct_conflict_relevance,alpha[0],0.42985136862320467,0.057075979397342165,0.4301329620209245,0.3259000560588714,0.5476008262980183,5478.9323501895315,1.000311797312685
direct_conflict_relevance,alpha[1],0.08878894755223693,0.05531626890332562,0.09000387485870169,-0.02061940307833096,0.1969664258217072,7246.192347323583,1.000227582764854
direct_conflict_relevance,alpha[2],0.009740337902231234,0.04704861737733994,0.009591708939501077,-0.08587744426866013,0.09800991506198548,7029.815069473047,1.000604169639463
direct_conflict_relevance,alpha[3],-0.09755929587106418,0.08485213217965655,-0.09842506003707747,-0.25998765369126475,0.07022065578939753,4833.140323616329,0.9997206850400541
direct_conflict_relevance,alpha[4],-0.05989196522403961,0.04129138723277517,-0.059630483744915086,-0.1421850180928779,0.020032332671517564,6397.0426847653025,1.000040376469382
direct_conflict_relevance,alpha[5],-0.3127250282519108,0.93071800869758,-0.3112651984903747,-2.069717840778446,1.5249973793920466,11020.244030169848,0.9997439078281479
direct_conflict_relevance,alpha[6],-1.896815821235796,0.30545818570428157,-1.8958665784844055,-2.5095561429743256,-1.3216775399778893,4333.956351217429,0.9999539862651114
direct_conflict_relevance,alpha[7],3.1421199496609904,0.3805692370627095,3.1432456636349695,2.3459075653693233,3.8398387036847756,4772.645869355811,1.0007477380553056
direct_conflict_relevance,alpha[8],0.24958429180748434,0.42292469712446756,0.2567016799540204,-0.5652649778293344,1.089709553661955,4825.738718619196,0.9997181724584974
direct_conflict_relevance,alpha[9],2.992248571578847,0.3780495710847568,2.9842049619773103,2.2493843767624795,3.736149300178057,3759.0869647078043,1.0003730481779223
direct_conflict_relevance,alpha[10],0.6065845608555135,0.2155935379775077,0.6051482490396701,0.18561088973959072,1.0320329641765933,4872.577690292098,1.0001232910164395
direct_conflict_relevance,beta0,0.24174002500196007,0.0438178185617852,0.24026024492389547,0.1594344589214879,0.32966982973545533,4975.247720207417,1.0004722051560373
direct_conflict_relevance,beta1,0.9096137395569724,0.007663072545208138,0.9089800818557635,0.8959901296550947,0.9251606984447359,5198.845503705742,1.0001991697716976
direct_conflict_relevance,gamma,0.7020926967927117,0.4224727722442714,0.6991956887520927,-0.06763105022078829,1.5801598094901417,6917.581152259499,0.999986869381178
direct_conflict_relevance,latent_concentration,5.213350412602889,0.8127286207213557,5.16661530815182,3.7103307531451692,6.889724990098763,4939.430017463122,1.000797664814414
direct_conflict_relevance,latent_mean,0.7620229113881364,0.020062849615965977,0.763018396501336,0.7221092500488782,0.7993207072520366,5162.220570786785,0.999947201565841
direct_conflict_relevance,sigma_y,0.9088707716561362,0.03372160477950419,0.9080114007357686,0.8452532550997092,0.9751194956197167,10291.347975985882,0.9996214081382142
physical_violence,alpha[0],0.4043905511717101,0.05931211168029573,0.4040185086823471,0.2850627112268338,0.5185409383167068,5114.037827595423,1.0002109426787715
physical_violence,alpha[1],0.10093707824756282,0.055077241033037364,0.10105025072472759,-0.007403605309530228,0.2078171453104976,7766.518135059304,0.9999055822131728
physical_violence,alpha[2],0.013835538314488796,0.0480688510128171,0.014025046437842938,-0.07969828852501655,0.10668496283867648,9002.687310809326,0.9996321360047943
physical_violence,alpha[3],-0.11597689149784102,0.0833658144588174,-0.11721619886782135,-0.28392992675062995,0.04283771402841028,4355.392727018613,1.000618070573013
physical_violence,alpha[4],-0.06334788001761699,0.04165153302589568,-0.06376423691275702,-0.14891684244534087,0.01364323477583525,6670.672065463638,0.9999083184695291
physical_violence,alpha[5],-0.2379286980826145,0.9094498329883028,-0.2366831137285273,-2.0359510941955583,1.5377402745899758,10224.792776596716,0.9999499206649476
physical_violence,alpha[6],-1.8949126263355527,0.3046510288292421,-1.8931779382575393,-2.4814306401234867,-1.2758812472240424,4443.167354776724,1.000585881532168
physical_violence,alpha[7],3.360875204937534,0.38646458342253226,3.364377700526509,2.6270573355577236,4.113905054535445,4475.9657377901,0.9999940041365449
physical_violence,alpha[8],0.5029349142737459,0.38212236021793594,0.5052360141472885,-0.2694714258793228,1.2233527484590154,4118.368695676041,1.0006693908905586
physical_violence,alpha[9],3.014983026727953,0.3834208444588846,3.0144055224693593,2.2295851991311566,3.7527698393075584,3559.9743958146246,1.0008198382909856
physical_violence,alpha[10],0.5434608554768089,0.2172314732202337,0.5426189686577155,0.11719604127547882,0.9614145049689332,4449.120988594165,1.000981343376234
physical_violence,beta0,0.15354020181007,0.020636801003241115,0.15370782044635306,0.1129531874063253,0.1920332415267637,6702.226334792995,1.0000552920957906
physical_violence,beta1,0.8521007022036533,0.030396465302720714,0.8496508638469519,0.791901747984372,0.9097981894227697,4662.181081662973,1.0006057954131922
physical_violence,gamma,0.8229780903350015,0.27608619945458523,0.8205467413240415,0.28314162107079827,1.3503165233780088,8287.86901953579,0.9996731240575492
physical_violence,latent_concentration,3.740938641066666,0.6183326299731418,3.6913382870931373,2.5831853839172774,4.944808796427919,5541.61760618319,1.0008117947647308
physical_violence,latent_mean,0.45510348519091753,0.026051811446368763,0.4550657553666681,0.40676988798738833,0.5079994772166413,5849.602527141379,0.9999623411633441
physical_violence,sigma_y,0.9010165855387862,0.03387903948634271,0.9001282158925227,0.8346224354127205,0.9658657270754643,10893.70516027885,0.9999610335971997
fatalities_present,alpha[0],0.4367044622237264,0.05977913830756255,0.43696893782688473,0.3249738087672433,0.5565164337019494,5885.888480487647,0.9997914044981063
fatalities_present,alpha[1],0.08960062650261318,0.05578012180265349,0.09006209976868419,-0.022292878661080904,0.19643339143350091,8546.366115461858,0.9998838493938148
fatalities_present,alpha[2],0.011057097457037434,0.04909577496242902,0.01146593076486344,-0.0857998276949543,0.1065839981827524,8690.060673347782,0.9999322884421729
fatalities_present,alpha[3],-0.0611925115093459,0.08404999125768992,-0.0609801328124429,-0.22815487727338765,0.10431897362137342,4711.3716300246015,0.999935281485147
fatalities_present,alpha[4],-0.049630123323690996,0.04247272170830234,-0.04973115389100186,-0.13353593966582458,0.034765797779011634,7637.595200263977,1.0008007070801228
fatalities_present,alpha[5],-0.32903221514344705,0.9414038535628909,-0.32194097249696707,-2.2188524145773556,1.4532054968036296,9859.118889887395,1.0000442297831367
fatalities_present,alpha[6],-1.992284104064447,0.3087272914682063,-1.9907626682865769,-2.57924107118785,-1.3667662634157791,4768.50470330814,1.0003601777800728
fatalities_present,alpha[7],3.0296809527186674,0.37739420356706116,3.0366114947934078,2.3070413001454955,3.7649627041952014,5561.21201167768,1.0010496992533755
