variable,model,quadrature_nodes,success,negative_log_likelihood,aic,gamma,gamma_se,fpr,tpr,latent_mean,latent_concentration,minimum_hessian_eigenvalue
direct_conflict_relevance,uniform,64,True,1954.3667912094745,3938.733582418949,0.4021545067528062,0.2671032630675543,0.5153256421081972,0.9181075648222066,0.5,2.0,1.178637377143071
direct_conflict_relevance,beta,64,True,1910.0706564098919,3854.1413128197837,0.7050935972512952,0.4241481355443455,0.23767479673222205,0.9097204317018907,0.76501271528863,5.302989377000969,1.1812363165177615
direct_conflict_relevance,uniform,128,True,1954.3716169111879,3938.7432338223757,0.40227103562253735,0.2670879909417277,0.5153318806936077,0.9180688745287131,0.5,2.0,1.1786352052243827
direct_conflict_relevance,beta,128,True,1910.1148433027556,3854.2296866055112,0.7053560253415543,0.42449152294661285,0.23646192929290122,0.9090736634404102,0.7661847817373512,5.284745746751758,1.1812505011626961
direct_conflict_relevance,uniform,256,True,1954.3716164770763,3938.7432329541525,0.40232875613581937,0.2670887989318067,0.5153307727719583,0.9180690186521857,0.5,2.0,1.1786285055502854
direct_conflict_relevance,beta,256,True,1910.1159801805911,3854.2319603611822,0.7060409364631353,0.4244980476631081,0.23648309728818825,0.909077666920265,0.766166985408321,5.284608529722762,1.1812515192934183
physical_violence,uniform,64,True,2056.5757361797673,4143.151472359535,0.703349204119136,0.22828856631143446,0.18498152482640604,0.7739842134651013,0.5,2.0,1.2035581609298294
physical_violence,beta,64,True,2048.4559873812227,4130.911974762445,0.8358034298642748,0.28050531777168103,0.14346416348565,0.8574275787107126,0.4590831853573401,3.966670115574497,1.2017534911719754
physical_violence,uniform,128,True,2056.5435822674326,4143.087164534865,0.7023126365805208,0.2284514179446124,0.188037832733922,0.7773092492970399,0.5,2.0,1.20340101171433
physical_violence,beta,128,True,2048.773423263565,4131.54684652713,0.8171555713236847,0.2761068507481053,0.15258283536050057,0.8489504984698121,0.4576018142915683,3.723242197171845,1.201819810062896
physical_violence,uniform,256,True,2056.5435632405665,4143.087126481133,0.7024804744268094,0.22845347459846208,0.18803718261957625,0.7773083878924152,0.5,2.0,1.203374547352288
physical_violence,beta,256,True,2048.773937741692,4131.547875483384,0.8176130386978667,0.27648809920316036,0.15259199805380963,0.8493024620438673,0.4573589415433607,3.7275697607267655,1.2018046143293069
fatalities_present,uniform,64,True,2093.21514026549,4216.43028053098,0.16519708448140005,0.26211568314667794,0.046992766301918266,0.6992573515114486,0.5,2.0,1.1693498393623676
fatalities_present,beta,64,True,2075.9720392160275,4185.944078432055,0.16490483704653863,0.3219587106757704,0.037822299616943264,0.8318193496768621,0.3947921812191455,4.188171072147005,1.168531275523806
fatalities_present,uniform,128,True,2093.5010810190774,4217.002162038155,0.16496160417929462,0.2622457724135688,0.0476461063190389,0.7005902022492464,0.5,2.0,1.1693466782328161
fatalities_present,beta,128,True,2076.356026518415,4186.71205303683,0.16367959901412604,0.31606173809958077,0.039540901028091976,0.820872413199947,0.3991050116641724,4.044841805482652,-0.3778607147112956
fatalities_present,uniform,256,True,2093.5011085040546,4217.002217008109,0.16500730027928392,0.262244303088288,0.047640598952701986,0.7005771561274068,0.5,2.0,1.1693443185806967
fatalities_present,beta,256,True,2076.350161055775,4186.70032211155,0.16348472572293235,0.31559102832166736,0.03955283178862845,0.8172751746217286,0.40099272238112205,4.0070016363950165,1.1685628008015898
