variable,divergences,max_r_hat_global,min_effective_sample_size_global,beta_mle_success,beta_mle_iterations,beta_mle_minimum_hessian_eigenvalue,likelihood_ratio_vs_uniform,likelihood_ratio_p_value,delta_aic_beta_minus_uniform
direct_conflict_relevance,0,1.000797664814414,4939.430017463122,True,115,1.1812450001233628,88.51354622985991,6.019045819121642e-20,-84.51354622985991
physical_violence,0,1.0008117947647308,4662.181081662973,True,150,1.2018053683325105,15.540321176134967,0.00042214546984032536,-11.540321176134967
fatalities_present,0,1.0008838086784928,3862.172581095621,True,118,-0.28638036699688413,34.290110295203704,3.580940933088982e-08,-30.290110295203704
