variable,source,fpr,tpr
direct_conflict_relevance,validation_only,0.23376623376623376,0.8902439024390244
direct_conflict_relevance,uniform_hmc,0.5132989167250075,0.9182911338551716
direct_conflict_relevance,beta_hmc,0.24174002500196007,0.9096137395569724
physical_violence,validation_only,0.19130434782608696,0.8863636363636364
physical_violence,uniform_hmc,0.1874778198062399,0.7790342953959248
physical_violence,beta_hmc,0.15354020181007,0.8521007022036533
fatalities_present,validation_only,0.1487603305785124,0.9210526315789473
fatalities_present,uniform_hmc,0.048450601869317454,0.7013133812535984
fatalities_present,beta_hmc,0.041584504372763585,0.8258875932617114
