variable,model,gamma,gamma_se,gamma_ci_low,gamma_ci_high,fpr,tpr,latent_mean,latent_concentration,negative_log_likelihood,aic
direct_conflict_relevance,uniform_hmc,0.407391009705769,0.26990654340373876,-0.1271165838687677,0.9298772969498283,0.5132989167250075,0.9182911338551716,0.5,2.0,1954.3716161064024,3938.7432322128047
direct_conflict_relevance,beta_hmc,0.7020926967927117,0.4224727722442714,-0.11041450942213339,1.53952880958363,0.24174002500196007,0.9096137395569724,0.7620229113881364,5.213350412602889,1910.1148429914724,3854.229685982945
physical_violence,uniform_hmc,0.7045674594704899,0.22922952965317792,0.2583404083086672,1.1538837740009888,0.1874778198062399,0.7790342953959248,0.5,2.0,2056.5435837180703,4143.087167436141
physical_violence,beta_hmc,0.8229780903350015,0.27608619945458523,0.2954204533643186,1.3676691524013198,0.15354020181007,0.8521007022036533,0.45510348519091753,3.740938641066666,2048.773423130003,4131.546846260006
fatalities_present,uniform_hmc,0.1658304014389583,0.26515896719354226,-0.3532711973250137,0.6854608588402624,0.048450601869317454,0.7013133812535984,0.5,2.0,2093.5010818707647,4217.002163741529
fatalities_present,beta_hmc,0.16807296867381114,0.32568111863587546,-0.4703151605968356,0.8004044216674833,0.041584504372763585,0.8258875932617114,0.3966923183344417,4.0373663133725435,2076.356026723163,4186.712053446326
