month,period_start,regime,y_ucdp_actor_fatalities_next,next_month_outcome_available,n_articles,share_conflict_relevance_direct_all,share_conflict_relevance_direct_clear,share_conflict_relevance_direct_unresolved,share_event_context_cbt_all,share_event_context_cbt_clear,share_event_context_cbt_unresolved,share_event_modality_realized_all,share_event_modality_realized_clear,share_event_modality_realized_unresolved,share_matched_actor_role_perpetrator_all,share_matched_actor_role_perpetrator_clear,share_matched_actor_role_perpetrator_unresolved,share_event_time_relation_current_or_recent_all,share_event_time_relation_current_or_recent_clear,share_event_time_relation_current_or_recent_unresolved,share_physical_violence_occurred_all,share_physical_violence_occurred_clear,share_physical_violence_occurred_unresolved,share_fatalities_present_all,share_fatalities_present_clear,share_fatalities_present_unresolved,share_injuries_present_all,share_injuries_present_clear,share_injuries_present_unresolved,share_any_matched_actor_mentioned_all,share_any_matched_actor_mentioned_clear,share_any_matched_actor_mentioned_unresolved,share_any_physical_violence_mentioned_all,share_any_physical_violence_mentioned_clear,share_any_physical_violence_mentioned_unresolved,share_any_fatalities_mentioned_all,share_any_fatalities_mentioned_clear,share_any_fatalities_mentioned_unresolved,share_any_injuries_mentioned_all,share_any_injuries_mentioned_clear,share_any_injuries_mentioned_unresolved,share_any_weapon_mentioned_all,share_any_weapon_mentioned_clear,share_any_weapon_mentioned_unresolved,log1p_n_articles,log1p_actor_linked_fatalities_next
2020-01,2020-01-01,Pre-takeover,2733.0,True,428,0.8037383177570093,0.8132387706855791,0.011682242990654205,0.6565420560747663,0.7242268041237113,0.09345794392523364,0.9065420560747663,0.9974293059125964,0.0911214953271028,0.5677570093457944,0.6246786632390745,0.0911214953271028,0.7827102803738317,0.8481012658227848,0.07710280373831775,0.6822429906542056,0.762402088772846,0.10514018691588785,0.6308411214953271,0.72,0.12383177570093458,0.3014018691588785,0.36235955056179775,0.16822429906542055,0.9065420560747663,0.9150943396226415,0.009345794392523364,0.9205607476635514,0.9314420803782506,0.011682242990654205,0.7757009345794392,0.8197530864197531,0.053738317757009345,0.3574766355140187,0.4346590909090909,0.17757009345794392,0.5070093457943925,0.5994475138121547,0.1542056074766355,6.061456918928017,7.913521017283895
2020-02,2020-02-01,Pre-takeover,1090.0,True,403,0.8138957816377171,0.8324873096446701,0.022332506203473945,0.39950372208436724,0.43513513513513513,0.08188585607940446,0.9106699751861043,0.9972826086956522,0.08684863523573201,0.4813895781637717,0.5243243243243243,0.08188585607940446,0.6426799007444168,0.6943699731903485,0.07444168734491315,0.4392059553349876,0.49441340782122906,0.11166253101736973,0.40694789081885857,0.45179063360881544,0.09925558312655088,0.141439205955335,0.16569767441860464,0.14640198511166252,0.9305210918114144,0.9351620947630923,0.004962779156327543,0.9007444168734491,0.9120603015075377,0.01240694789081886,0.6823821339950372,0.7033248081841432,0.02977667493796526,0.24813895781637718,0.2949852507374631,0.1588089330024814,0.5161290322580645,0.5606469002695418,0.0794044665012407,6.0014148779611505,6.994849985833071
2020-03,2020-03-01,Pre-takeover,1030.0,True,649,0.8412942989214176,0.8544600938967136,0.015408320493066256,0.5300462249614792,0.5781512605042017,0.08320493066255778,0.9167950693374423,1.0,0.08320493066255778,0.5485362095531587,0.5993265993265994,0.0847457627118644,0.827426810477658,0.8964941569282137,0.07704160246533127,0.5901386748844376,0.6535836177474402,0.0970724191063174,0.47919876733436056,0.5380622837370242,0.10939907550077041,0.275808936825886,0.32545454545454544,0.15254237288135594,0.926040061633282,0.9346811819595645,0.009244992295839754,0.8690292758089369,0.8826291079812206,0.015408320493066256,0.6394453004622496,0.6618819776714514,0.03389830508474576,0.3389830508474576,0.3942652329749104,0.14021571648690292,0.46687211093990755,0.5033222591362126,0.0724191063174114,6.476972362889683,6.93828448401696
2020-04,2020-04-01,Pre-takeover,1093.0,True,310,0.8774193548387097,0.8774193548387097,0.0,0.5483870967741935,0.576271186440678,0.04838709677419355,0.9516129032258065,1.0,0.04838709677419355,0.635483870967742,0.6700680272108843,0.05161290322580645,0.8935483870967742,0.9326599326599326,0.041935483870967745,0.6451612903225806,0.6896551724137931,0.06451612903225806,0.6064516129032258,0.6416382252559727,0.054838709677419356,0.3967741935483871,0.4392857142857143,0.0967741935483871,0.9516129032258065,0.9546925566343042,0.0032258064516129032,0.8903225806451613,0.8932038834951457,0.0032258064516129032,0.7354838709677419,0.7402597402597403,0.0064516129032258064,0.43870967741935485,0.48398576512455516,0.0935483870967742,0.3967741935483871,0.4155405405405405,0.04516129032258064,5.739792912179234,6.9975959829819265
2020-05,2020-05-01,Pre-takeover,1472.0,True,497,0.8953722334004024,0.9081632653061225,0.014084507042253521,0.6317907444668008,0.6610526315789473,0.04426559356136821,0.9557344064386318,1.0,0.04426559356136821,0.6016096579476862,0.6334745762711864,0.05030181086519115,0.8792756539235412,0.9180672268907563,0.04225352112676056,0.6961770623742455,0.7330508474576272,0.05030181086519115,0.676056338028169,0.717948717948718,0.05835010060362173,0.5010060362173038,0.5608108108108109,0.10663983903420524,0.9617706237424547,0.9656565656565657,0.004024144869215292,0.9396378269617707,0.9491869918699187,0.01006036217303823,0.8350100603621731,0.8574380165289256,0.026156941649899398,0.5875251509054326,0.6547085201793722,0.10261569416498995,0.5533199195171026,0.6043956043956044,0.08450704225352113,6.210600077024653,7.29505641646263
2020-06,2020-06-01,Pre-takeover,1546.0,True,419,0.7183770883054893,0.7270531400966184,0.011933174224343675,0.431980906921241,0.48010610079575594,0.10023866348448687,0.8997613365155132,1.0,0.10023866348448687,0.47255369928400953,0.5169712793733682,0.08591885441527446,0.7088305489260143,0.7654639175257731,0.07398568019093078,0.4821002386634845,0.5358090185676393,0.10023866348448687,0.45584725536992843,0.5013123359580053,0.09069212410501193,0.3031026252983294,0.35674157303370785,0.15035799522673032,0.9284009546539379,0.9350961538461539,0.007159904534606206,0.8090692124105012,0.8168674698795181,0.00954653937947494,0.6157517899761337,0.6262135922330098,0.016706443914081145,0.39618138424821003,0.453551912568306,0.12649164677804295,0.40572792362768495,0.44502617801047123,0.0883054892601432,6.040254711277414,7.344072850573066
2020-07,2020-07-01,Pre-takeover,1347.0,True,543,0.8084714548802947,0.8144712430426716,0.007366482504604052,0.47513812154696133,0.50390625,0.0570902394106814,0.9337016574585635,0.9980314960629921,0.06445672191528545,0.429097605893186,0.46047430830039526,0.06813996316758748,0.7697974217311234,0.81640625,0.0570902394106814,0.565377532228361,0.6055226824457594,0.06629834254143646,0.5395948434622467,0.5801980198019802,0.06998158379373849,0.43278084714548803,0.487551867219917,0.11233885819521179,0.9373848987108656,0.9425925925925925,0.0055248618784530384,0.8305709023941068,0.8414179104477612,0.01289134438305709,0.6740331491712708,0.690566037735849,0.02394106813996317,0.48987108655616945,0.5439672801635992,0.09944751381215469,0.5561694290976059,0.6003976143141153,0.07366482504604052,6.298949246855942,7.206377291472252
2020-08,2020-08-01,Pre-takeover,1763.0,True,334,0.8592814371257484,0.8592814371257484,0.0,0.5808383233532934,0.610062893081761,0.04790419161676647,0.9461077844311377,0.9968454258675079,0.05089820359281437,0.5449101796407185,0.5759493670886076,0.05389221556886228,0.7784431137724551,0.8099688473520249,0.038922155688622756,0.6616766467065869,0.6927899686520376,0.04491017964071856,0.5389221556886228,0.5678233438485805,0.05089820359281437,0.49101796407185627,0.5503355704697986,0.10778443113772455,0.9491017964071856,0.9548192771084337,0.005988023952095809,0.8952095808383234,0.9006024096385542,0.005988023952095809,0.7035928143712575,0.7164634146341463,0.017964071856287425,0.5838323353293413,0.6543624161073825,0.10778443113772455,0.5479041916167665,0.5941558441558441,0.07784431137724551,5.814130531825066,7.475339236566737
2020-09,2020-09-01,Pre-takeover,2671.0,True,397,0.853904282115869,0.8647959183673469,0.012594458438287154,0.6146095717884131,0.6472148541114059,0.05037783375314862,0.9420654911838791,0.9973333333333333,0.055415617128463476,0.5188916876574308,0.5508021390374331,0.05793450881612091,0.818639798488665,0.8597883597883598,0.04785894206549118,0.6523929471032746,0.6925133689839572,0.05793450881612091,0.6045340050377834,0.6469002695417789,0.0654911838790932,0.45591939546599497,0.5142045454545454,0.11335012594458438,0.9496221662468514,0.9568527918781726,0.007556675062972292,0.8866498740554156,0.9002557544757033,0.015113350125944584,0.7632241813602015,0.7890625,0.0327455919395466,0.5188916876574308,0.5643835616438356,0.08060453400503778,0.45843828715365237,0.5098039215686274,0.10075566750629723,5.986452005284438,7.890582534656536
2020-10,2020-10-01,Pre-takeover,1866.0,True,349,0.8481375358166189,0.8604651162790697,0.014326647564469915,0.6532951289398281,0.6909090909090909,0.054441260744985676,0.9369627507163324,1.0,0.06303724928366762,0.5128939828080229,0.5474006116207951,0.06303724928366762,0.830945558739255,0.8708708708708709,0.045845272206303724,0.7077363896848138,0.7439759036144579,0.04871060171919771,0.6103151862464183,0.6513761467889908,0.06303724928366762,0.41260744985673353,0.48,0.14040114613180515,0.9426934097421203,0.9508670520231214,0.008595988538681949,0.9283667621776505,0.9310344827586207,0.0028653295128939827,0.7363896848137536,0.749271137026239,0.017191977077363897,0.4813753581661891,0.5581395348837209,0.13753581661891118,0.5931232091690545,0.6330275229357798,0.06303724928366762,5.857933154483459,7.532088143541722
