variable,sigma_prior,sigma_prior_description,gamma_mean,gamma_sd,gamma_ci_low,gamma_ci_high,sigma_y_mean,sigma_y_sd,sigma_y_ci_low,sigma_y_ci_high,fpr_mean,tpr_mean,latent_mean,latent_concentration,divergences,max_r_hat_global,min_effective_sample_size_global,baseline_gamma_mean,gamma_change_from_baseline
direct_conflict_relevance,gamma_1_10,"Gamma(1,10), mean 0.1",0.7020926967927116,0.4224727722442714,-0.1104145094221333,1.53952880958363,0.9088707716561362,0.0337216047795041,0.8465245114877721,0.9771484673411096,0.24174002500196,0.9096137395569726,0.7620229113881364,5.213350412602889,0,1.000797664814414,4939.430017463122,0.7020926967927116,0.0
direct_conflict_relevance,halfnormal_1,"Half-Normal(0,1), mean 0.798",0.710067066418967,0.426811763699937,-0.1303880509550909,1.5380205779077498,0.9199718474276404,0.0349025974421783,0.8553977120290781,0.990963275257538,0.242023710108429,0.9096498946654356,0.7619082434847191,5.210397401582035,0,1.00052086625377,4924.0700752392795,0.7020926967927116,0.007974369626255418
direct_conflict_relevance,gamma_2_2,"Gamma(2,2), mean 1.0",0.697686782210888,0.4267559521956821,-0.1357291501893659,1.5414029491523156,0.9192565184965944,0.0353769877927596,0.85251109100063,0.9911405623573588,0.2422300376627509,0.9098200655696832,0.7615419388123639,5.225307253751946,0,1.0001337674410278,5167.9652825004405,0.7020926967927116,-0.0044059145818236
physical_violence,gamma_1_10,"Gamma(1,10), mean 0.1",0.8229780903350012,0.2760861994545852,0.2954204533643186,1.3676691524013198,0.9010165855387862,0.0338790394863427,0.8378262667513788,0.9690667796296584,0.1535402018100699,0.8521007022036533,0.4551034851909175,3.740938641066666,0,1.0008117947647308,4662.181081662973,0.8229780903350012,0.0
physical_violence,halfnormal_1,"Half-Normal(0,1), mean 0.798",0.8187100852569779,0.2855700915423355,0.2603756758756906,1.3712763947563915,0.9116972328043216,0.0355102825828303,0.8462408716108554,0.9844445849999888,0.1531579414102307,0.8524384481433587,0.4555234430316968,3.749012177540871,0,1.0019305562223415,4555.0341151567845,0.8229780903350012,-0.004268005078023385
physical_violence,gamma_2_2,"Gamma(2,2), mean 1.0",0.817665661448995,0.2853212410659724,0.2573755455010941,1.383968732621649,0.9114037409662556,0.0349954137739418,0.8459357947268995,0.982145217718702,0.1533774830216675,0.8520749547825347,0.455516648408387,3.74385485244385,0,1.0000101376938444,4904.063556686336,0.8229780903350012,-0.0053124288860062485
fatalities_present,gamma_1_10,"Gamma(1,10), mean 0.1",0.1680729686738111,0.3256811186358754,-0.4703151605968356,0.8004044216674833,0.9141244947926268,0.0336898144430061,0.8500297286769017,0.9831469958096742,0.0415845043727635,0.8258875932617114,0.3966923183344416,4.0373663133725435,0,1.0008838086784928,3862.172581095621,0.1680729686738111,0.0
fatalities_present,halfnormal_1,"Half-Normal(0,1), mean 0.798",0.1720124354943882,0.3255150061044811,-0.4655105135842627,0.8110302707316442,0.924053389503878,0.0352110611282973,0.8586641252274116,0.9965504330285612,0.0417398112465568,0.8249080706372371,0.3966446878838858,4.0352167647265285,0,1.0008897271217605,3984.0680159003655,0.1680729686738111,0.003939466820577081
fatalities_present,gamma_2_2,"Gamma(2,2), mean 1.0",0.1673735201876555,0.3239464127123345,-0.4635290224227618,0.8070064066234428,0.9242529609955792,0.0351366384304187,0.8587146326433623,0.9964638018583188,0.0416327460943955,0.8249728825033793,0.3967933054421219,4.0310831952333155,0,1.0002362209051965,4084.893470246711,0.1680729686738111,-0.0006994484861556072
